=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-28 00:46
Total symbols analyzed: 898
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KOSPI TOP 100 ---
  99. 460860 (동국제강): +2.98%
  100. 015260 (에이엔피): +2.94%

============================================================
Horizon: 20d

--- KOSPI TOP 100 ---
  1. 317400 (자이에스앤디): +33.24%
  2. 010400 (우진아이엔에스): +24.70%
  3. 006340 (대원전선): +22.04%
  4. 357430 (마스턴프리미어리츠): +16.00%
  5. 078930 (GS): +13.35%
  6. 071970 (HD현대마린엔진): +13.29%
  7. 089860 (롯데렌탈): +12.90%
  8. 298000 (효성화학): +12.07%
  9. 308170 (씨티알모빌리티): +11.62%
  10. 028050 (삼성E&A): +11.61%
  11. 035420 (NAVER): +11.33%
  12. 181710 (NHN): +11.12%
  13. 192820 (코스맥스): +10.92%
  14. 008930 (한미사이언스): +10.90%
  15. 009460 (한창제지): +10.86%
  16. 002810 (삼영무역): +10.36%
  17. 002390 (한독): +10.19%
  18. 006370 (대구백화점): +9.95%
  19. 004430 (송원산업): +9.86%
  20. 090080 (평화산업): +9.78%
  21. 018260 (삼성에스디에스): +9.73%
  22. 014130 (한익스프레스): +9.71%
  23. 483650 (달바글로벌): +9.69%
  24. 006360 (GS건설): +9.66%
  25. 352820 (하이브): +9.64%
  26. 002870 (신풍): +9.57%
  27. 138040 (메리츠금융지주): +9.43%
  28. 011230 (삼화전자): +9.40%
  29. 009240 (한샘): +9.12%
  30. 207940 (삼성바이오로직스): +8.96%
  31. 005950 (이수화학): +8.92%
  32. 259960 (크래프톤): +8.90%
  33. 267270 (HD건설기계): +8.89%
  34. 090435 (아모레퍼시픽우): +8.83%
  35. 016590 (신대양제지): +8.82%
  36. 053690 (한미글로벌): +8.78%
  37. 322000 (HD현대에너지솔루션): +8.72%
  38. 175330 (JB금융지주): +8.64%
  39. 377300 (카카오페이): +8.61%
  40. 480370 (씨케이솔루션): +8.57%
  41. 031820 (아이티센씨티에스): +8.51%
  42. 005090 (SGC에너지): +8.49%
  43. 009160 (SIMPAC): +8.47%
  44. 079160 (CJ CGV): +8.35%
  45. 003230 (삼양식품): +8.31%
  46. 014710 (사조씨푸드): +8.29%
  47. 078520 (에이블씨엔씨): +8.28%
  48. 001430 (세아베스틸지주): +8.27%
  49. 298020 (효성티앤씨): +8.19%
  50. 009970 (영원무역홀딩스): +8.16%
  51. 000640 (동아쏘시오홀딩스): +8.12%
  52. 018670 (SK가스): +8.08%
  53. 044820 (코스맥스비티아이): +7.98%
  54. 460850 (동국씨엠): +7.93%
  55. 017670 (SK텔레콤): +7.85%
  56. 37550L (DL이앤씨2우(전환)): +7.63%
  57. 090430 (아모레퍼시픽): +7.58%
  58. 000210 (DL): +7.54%
  59. 002360 (SH에너지화학): +7.53%
  60. 002820 (SUN&L): +7.44%
  61. 051905 (LG생활건강우): +7.39%
  62. 008490 (서흥): +7.38%
  63. 000180 (성창기업지주): +7.34%
  64. 069620 (대웅제약): +7.30%
  65. 475150 (SK이터닉스): +7.29%
  66. 001530 (DI동일): +7.24%
  67. 268280 (미원에스씨): +7.15%
  68. 194370 (제이에스코퍼레이션): +7.06%
  69. 028100 (동아지질): +6.98%
  70. 294870 (IPARK현대산업개발): +6.92%
  71. 002630 (오리엔트바이오): +6.89%
  72. 003350 (한국화장품제조): +6.83%
  73. 024720 (콜마홀딩스): +6.73%
  74. 082640 (동양생명): +6.70%
  75. 316140 (우리금융지주): +6.69%
  76. 006660 (삼성공조): +6.67%
  77. 000700 (유수홀딩스): +6.59%
  78. 007570 (일양약품): +6.56%
  79. 000520 (삼일제약): +6.55%
  80. 086280 (현대글로비스): +6.53%
  81. 306200 (세아제강): +6.50%
  82. 006840 (AK홀딩스): +6.48%
  83. 010950 (S-Oil): +6.46%
  84. 009540 (HD한국조선해양): +6.44%
  85. 001450 (현대해상): +6.43%
  86. 000680 (LS네트웍스): +6.40%
  87. 439260 (대한조선): +6.37%
  88. 100090 (SK오션플랜트): +6.36%
  89. 001070 (대한방직): +6.35%
  90. 170900 (동아에스티): +6.31%
  91. 37550K (DL이앤씨우): +6.31%
  92. 023590 (다우기술): +6.30%
  93. 036460 (한국가스공사): +6.30%
  94. 271940 (일진하이솔루스): +6.24%
  95. 003240 (태광산업): +6.12%
  96. 096770 (SK이노베이션): +6.01%
  97. 004370 (농심): +6.00%
  98. 005830 (DB손해보험): +5.96%
  99. 460860 (동국제강): +5.96%
  100. 015260 (에이엔피): +5.88%

============================================================
Horizon: 60d

--- KOSPI TOP 100 ---
  1. 317400 (자이에스앤디): +35.00%
  2. 006340 (대원전선): +35.00%
  3. 010400 (우진아이엔에스): +35.00%
  4. 357430 (마스턴프리미어리츠): +27.72%
  5. 078930 (GS): +23.12%
