=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-29 09:36
Total symbols analyzed: 898
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KOSPI TOP 100 ---
  87. 002820 (SUN&L): +1.46%
  88. 009580 (무림P&P): +1.45%
  89. 007310 (오뚜기): +1.43%
  90. 003680 (한성기업): +1.43%
  91. 024720 (콜마홀딩스): +1.42%
  92. 000080 (하이트진로): +1.42%
  93. 002620 (제일파마홀딩스): +1.41%
  94. 001790 (대한제당): +1.40%
  95. 100220 (비상교육): +1.39%
  96. 451800 (한화리츠): +1.39%
  97. 317400 (자이에스앤디): +1.38%
  98. 101140 (인바이오젠): +1.38%
  99. 280360 (롯데웰푸드): +1.36%
  100. 003120 (일성아이에스): +1.35%

============================================================
Horizon: 20d

--- KOSPI TOP 100 ---
  1. 012160 (영흥): +13.91%
  2. 006340 (대원전선): +13.68%
  3. 002785 (진흥기업우B): +13.66%
  4. 002787 (진흥기업2우B): +10.36%
  5. 192820 (코스맥스): +9.92%
  6. 308170 (씨티알모빌리티): +9.92%
  7. 078930 (GS): +9.21%
  8. 011090 (에넥스): +8.65%
  9. 002810 (삼영무역): +8.64%
  10. 298000 (효성화학): +8.24%
  11. 089860 (롯데렌탈): +8.21%
  12. 010400 (우진아이엔에스): +8.08%
  13. 002070 (비비안): +7.58%
  14. 009970 (영원무역홀딩스): +7.57%
  15. 483650 (달바글로벌): +7.31%
  16. 000640 (동아쏘시오홀딩스): +7.19%
  17. 011300 (우성머티리얼스): +7.03%
  18. 008355 (남선알미우): +6.98%
  19. 014130 (한익스프레스): +6.96%
  20. 004370 (농심): +6.91%
  21. 051900 (LG생활건강): +6.66%
  22. 026890 (스틱인베스트먼트): +6.55%
  23. 207940 (삼성바이오로직스): +6.47%
  24. 090080 (평화산업): +6.39%
  25. 018470 (조일알미늄): +6.35%
  26. 002390 (한독): +6.34%
  27. 357430 (마스턴프리미어리츠): +6.27%
  28. 079160 (CJ CGV): +6.14%
  29. 010640 (진양폴리): +6.08%
  30. 008700 (아남전자): +6.07%
  31. 002870 (신풍): +6.06%
  32. 028100 (동아지질): +6.06%
  33. 002030 (아세아): +5.95%
  34. 009460 (한창제지): +5.76%
  35. 009240 (한샘): +5.55%
  36. 111770 (영원무역): +5.51%
  37. 069620 (대웅제약): +5.39%
  38. 006840 (AK홀딩스): +5.33%
  39. 024070 (WISCOM): +5.09%
  40. 006740 (블루산업개발): +4.97%
  41. 090430 (아모레퍼시픽): +4.94%
  42. 044820 (코스맥스비티아이): +4.92%
  43. 138040 (메리츠금융지주): +4.90%
  44. 082640 (동양생명): +4.86%
  45. 068270 (셀트리온): +4.82%
  46. 003230 (삼양식품): +4.78%
  47. 268280 (미원에스씨): +4.76%
  48. 014710 (사조씨푸드): +4.72%
  49. 004430 (송원산업): +4.59%
  50. 298020 (효성티앤씨): +4.51%
  51. 002790 (아모레퍼시픽홀딩스): +4.44%
  52. 294870 (IPARK현대산업개발): +4.44%
  53. 006370 (대구백화점): +4.42%
  54. 282330 (BGF리테일): +4.40%
  55. 194370 (제이에스코퍼레이션): +4.38%
  56. 417310 (코람코더원리츠): +4.34%
  57. 316140 (우리금융지주): +4.33%
  58. 016590 (신대양제지): +4.30%
  59. 259960 (크래프톤): +4.22%
  60. 033780 (KT&G): +4.08%
  61. 008490 (서흥): +4.07%
  62. 008930 (한미사이언스): +4.02%
  63. 180640 (한진칼): +3.97%
  64. 001450 (현대해상): +3.85%
  65. 460850 (동국씨엠): +3.75%
  66. 019685 (대교우B): +3.72%
  67. 005610 (삼립): +3.69%
  68. 033250 (체시스): +3.68%
  69. 078520 (에이블씨엔씨): +3.56%
  70. 036460 (한국가스공사): +3.54%
  71. 453340 (현대그린푸드): +3.53%
  72. 096770 (SK이노베이션): +3.53%
  73. 008260 (NI스틸): +3.47%
  74. 014990 (인디에프): +3.46%
  75. 035720 (카카오): +3.45%
  76. 006040 (동원산업): +3.44%
  77. 051905 (LG생활건강우): +3.32%
  78. 035420 (NAVER): +3.31%
  79. 105630 (한세실업): +3.30%
  80. 007570 (일양약품): +3.26%
  81. 003300 (한일홀딩스): +3.19%
  82. 175330 (JB금융지주): +3.18%
  83. 383220 (F&F): +3.17%
  84. 000700 (유수홀딩스): +3.12%
  85. 481850 (신한글로벌액티브리츠): +3.08%
  86. 009200 (무림페이퍼): +3.02%
  87. 002820 (SUN&L): +2.91%
  88. 009580 (무림P&P): +2.90%
  89. 007310 (오뚜기): +2.87%
  90. 003680 (한성기업): +2.86%
  91. 024720 (콜마홀딩스): +2.83%
  92. 000080 (하이트진로): +2.83%
  93. 002620 (제일파마홀딩스): +2.82%
  94. 001790 (대한제당): +2.79%
  95. 100220 (비상교육): +2.79%
  96. 451800 (한화리츠): +2.78%
  97. 317400 (자이에스앤디): +2.76%
  98. 101140 (인바이오젠): +2.76%
  99. 280360 (롯데웰푸드): +2.72%
  100. 003120 (일성아이에스): +2.70%

============================================================
Horizon: 60d

--- KOSPI TOP 100 ---
  1. 012160 (영흥): +24.09%
  2. 006340 (대원전선): +23.70%
  3. 002785 (진흥기업우B): +23.66%
  4. 002787 (진흥기업2우B): +17.94%
  5. 192820 (코스맥스): +17.19%
  6. 308170 (씨티알모빌리티): +17.19%
  7. 078930 (GS): +15.94%
  8. 011090 (에넥스): +14.97%
  9. 002810 (삼영무역): +14.97%
  10. 298000 (효성화학): +14.28%
  11. 089860 (롯데렌탈): +14.22%
  12. 010400 (우진아이엔에스): +14.00%
  13. 002070 (비비안): +13.12%
  14. 009970 (영원무역홀딩스): +13.11%
  15. 483650 (달바글로벌): +12.66%
  16. 000640 (동아쏘시오홀딩스): +12.45%
