=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-29 09:57
Total symbols analyzed: 1573
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KOSDAQ TOP 100 ---
  69. 093380 (풍강): +6.72%
  70. 035620 (바른손이앤에이): +6.69%
  71. 304100 (솔트룩스): +6.41%
  72. 035610 (솔본): +6.37%
  73. 065690 (파커스): +6.36%
  74. 048830 (엔피케이): +6.08%
  75. 085810 (알티캐스트): +6.05%
  76. 090850 (현대이지웰): +6.01%
  77. 340810 (시선AI): +5.88%
  78. 036620 (감성코퍼레이션): +5.71%
  79. 420570 (제이투케이바이오): +5.55%
  80. 093520 (매커스): +5.32%
  81. 265740 (엔에프씨): +5.22%
  82. 365590 (하이딥): +5.15%
  83. 258790 (소프트캠프): +5.14%
  84. 303030 (지니틱스): +5.03%
  85. 039830 (오로라): +5.02%
  86. 092460 (한라IMS): +5.00%
  87. 340570 (티앤엘): +4.98%
  88. 068790 (DMS): +4.98%
  89. 099190 (아이센스): +4.95%
  90. 053290 (NE능률): +4.92%
  91. 206640 (바디텍메드): +4.88%
  92. 022220 (티케이지애강): +4.85%
  93. 192410 (오늘이엔엠): +4.84%
  94. 457600 (벡트): +4.75%
  95. 351870 (차이커뮤니케이션): +4.72%
  96. 376980 (원티드랩): +4.71%
  97. 138070 (신진에스엠): +4.70%
  98. 303360 (프로티아): +4.55%
  99. 290660 (다이나믹솔루션): +4.51%
  100. 377450 (리파인): +4.47%

============================================================
Horizon: 60d

--- KOSDAQ TOP 100 ---
  1. 463020 (뉴엔AI): +35.00%
  2. 052460 (아이크래프트): +35.00%
  3. 199730 (바이오인프라): +35.00%
  4. 417860 (오브젠): +35.00%
  5. 299660 (셀리드): +35.00%
  6. 044340 (위닉스): +35.00%
  7. 900100 (파이온엑스): +35.00%
  8. 368600 (아이씨에이치): +35.00%
  9. 199430 (케이엔알시스템): +35.00%
  10. 227610 (아우딘퓨쳐스): +34.39%
  11. 489460 (바이오비쥬): +31.64%
  12. 413630 (씨피시스템): +31.32%
  13. 018700 (졸스): +28.48%
  14. 317240 (TS트릴리온): +27.98%
  15. 396300 (세아메카닉스): +25.61%
  16. 363250 (진시스템): +25.32%
  17. 301300 (바이브컴퍼니): +24.72%
  18. 091970 (LSK아이로봇): +24.67%
  19. 900290 (GRT): +24.52%
  20. 078590 (휴림에이텍): +23.56%
  21. 108860 (셀바스AI): +23.08%
  22. 032790 (엠젠솔루션): +23.03%
  23. 332570 (PS일렉트로닉스): +22.54%
  24. 372800 (아이티아이즈): +22.53%
  25. 053350 (이니텍): +22.13%
  26. 484810 (티엑스알로보틱스): +22.08%
  27. 059120 (아진엑스텍): +21.52%
  28. 377480 (마음AI): +20.56%
  29. 246710 (티앤알바이오팹): +20.54%
  30. 045510 (정원엔시스): +20.25%
  31. 377330 (이지트로닉스): +20.14%
  32. 460930 (현대힘스): +20.14%
  33. 039980 (폴라리스AI): +20.12%
  34. 193250 (링크드): +20.09%
  35. 079940 (가비아): +19.80%
  36. 208640 (썸에이지): +19.41%
  37. 455180 (케이지에이): +19.33%
  38. 104040 (디에스엠): +19.24%
  39. 460870 (에스엠씨지): +18.77%
  40. 424760 (벨로크): +18.66%
  41. 235980 (메드팩토): +18.56%
  42. 093320 (케이아이엔엑스): +17.32%
  43. 333430 (일승): +17.22%
  44. 270520 (앱튼): +17.22%
  45. 114450 (그린생명과학): +16.93%
  46. 290520 (신도기연): +16.71%
  47. 290720 (푸드나무): +16.47%
  48. 087010 (펩트론): +16.36%
  49. 317770 (엑스페릭스): +15.85%
  50. 455900 (엔젤로보틱스): +15.81%
  51. 033050 (제이엠아이): +15.04%
  52. 247660 (나노씨엠에스): +14.80%
  53. 310200 (애니플러스): +14.68%
  54. 402030 (코난테크놀로지): +14.38%
  55. 054920 (한컴위드): +14.21%
  56. 328380 (솔트웨어): +13.96%
  57. 013990 (아가방컴퍼니): +13.70%
  58. 419080 (엔젯): +13.45%
  59. 405000 (플라즈맵): +13.38%
  60. 099440 (스맥): +13.37%
  61. 086710 (선진뷰티사이언스): +13.11%
  62. 331520 (밸로프): +13.10%
  63. 264850 (이랜시스): +12.50%
  64. 098660 (에스티오): +12.43%
  65. 309930 (조이웍스앤코): +12.39%
  66. 009620 (삼보산업): +12.39%
  67. 036630 (세종텔레콤): +12.17%
  68. 331380 (포커스에이아이): +12.08%
  69. 093380 (풍강): +11.63%
  70. 035620 (바른손이앤에이): +11.60%
  71. 304100 (솔트룩스): +11.09%
  72. 035610 (솔본): +11.04%
  73. 065690 (파커스): +11.02%
  74. 048830 (엔피케이): +10.54%
  75. 085810 (알티캐스트): +10.49%
  76. 090850 (현대이지웰): +10.41%
  77. 340810 (시선AI): +10.19%
  78. 036620 (감성코퍼레이션): +9.89%
  79. 420570 (제이투케이바이오): +9.61%
  80. 093520 (매커스): +9.22%
  81. 265740 (엔에프씨): +9.05%
  82. 365590 (하이딥): +8.92%
  83. 258790 (소프트캠프): +8.91%
  84. 303030 (지니틱스): +8.72%
  85. 039830 (오로라): +8.70%
  86. 092460 (한라IMS): +8.67%
  87. 340570 (티앤엘): +8.63%
  88. 068790 (DMS): +8.62%
  89. 099190 (아이센스): +8.58%
  90. 053290 (NE능률): +8.52%
  91. 206640 (바디텍메드): +8.45%
  92. 022220 (티케이지애강): +8.40%
  93. 192410 (오늘이엔엠): +8.39%
  94. 457600 (벡트): +8.22%
  95. 351870 (차이커뮤니케이션): +8.18%
  96. 376980 (원티드랩): +8.15%
  97. 138070 (신진에스엠): +8.15%
  98. 303360 (프로티아): +7.89%
  99. 290660 (다이나믹솔루션): +7.81%
  100. 377450 (리파인): +7.74%

