=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-27 23:44
Total symbols analyzed: 1573
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KOSDAQ TOP 100 ---
  67. 121440 (골프존홀딩스): +11.36%
  68. 076610 (해성옵틱스): +11.29%
  69. 099190 (아이센스): +11.19%
  70. 126640 (화신정공): +11.17%
  71. 036620 (감성코퍼레이션): +10.93%
  72. 114450 (그린생명과학): +10.81%
  73. 377330 (이지트로닉스): +10.81%
  74. 138070 (신진에스엠): +10.81%
  75. 437730 (삼현): +10.75%
  76. 091970 (LSK아이로봇): +10.72%
  77. 086710 (선진뷰티사이언스): +10.38%
  78. 376980 (원티드랩): +10.19%
  79. 203400 (에이비온): +10.15%
  80. 189330 (씨이랩): +10.12%
  81. 036630 (세종텔레콤): +10.00%
  82. 290520 (신도기연): +9.87%
  83. 257720 (실리콘투): +9.85%
  84. 033560 (블루콤): +9.76%
  85. 082210 (옵트론텍): +9.73%
  86. 054920 (한컴위드): +9.68%
  87. 196700 (웹스): +9.66%
  88. 236810 (엔비티): +9.57%
  89. 064260 (다날): +9.52%
  90. 473980 (노머스): +9.44%
  91. 265740 (엔에프씨): +9.38%
  92. 331520 (밸로프): +9.38%
  93. 222040 (코스맥스엔비티): +9.32%
  94. 328380 (솔트웨어): +9.31%
  95. 239340 (이스트에이드): +9.25%
  96. 362320 (청담글로벌): +9.16%
  97. 290720 (푸드나무): +9.12%
  98. 377480 (마음AI): +9.04%
  99. 092460 (한라IMS): +8.89%
  100. 193250 (링크드): +8.87%

============================================================
Horizon: 60d

--- KOSDAQ TOP 100 ---
  1. 119850 (지엔씨에너지): +35.00%
  2. 065690 (파커스): +35.00%
  3. 078590 (휴림에이텍): +35.00%
  4. 368600 (아이씨에이치): +35.00%
  5. 018700 (졸스): +35.00%
  6. 227610 (아우딘퓨쳐스): +35.00%
  7. 354200 (엔젠바이오): +35.00%
  8. 045510 (정원엔시스): +35.00%
  9. 052460 (아이크래프트): +35.00%
  10. 405000 (플라즈맵): +35.00%
  11. 484810 (티엑스알로보틱스): +35.00%
  12. 270520 (앱튼): +35.00%
  13. 264850 (이랜시스): +35.00%
  14. 044340 (위닉스): +35.00%
  15. 059120 (아진엑스텍): +35.00%
  16. 199430 (케이엔알시스템): +35.00%
  17. 489460 (바이오비쥬): +35.00%
  18. 332570 (PS일렉트로닉스): +35.00%
  19. 301300 (바이브컴퍼니): +34.70%
  20. 317240 (TS트릴리온): +34.62%
  21. 419080 (엔젯): +34.24%
  22. 099440 (스맥): +33.24%
  23. 413630 (씨피시스템): +32.43%
  24. 455180 (케이지에이): +32.29%
  25. 208640 (썸에이지): +32.04%
  26. 900100 (파이온엑스): +31.15%
  27. 240600 (유진테크놀로지): +31.08%
  28. 270660 (에브리봇): +29.05%
  29. 053350 (이니텍): +28.69%
  30. 900290 (GRT): +28.56%
  31. 417860 (오브젠): +28.07%
  32. 079940 (가비아): +26.70%
  33. 481070 (에이유브랜즈): +26.65%
  34. 104040 (디에스엠): +26.56%
  35. 115610 (이미지스): +26.26%
  36. 300080 (플리토): +26.15%
