=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-27 23:09
Total symbols analyzed: 74
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KONEX TOP 100 ---
  43. 448780 (마이크로엔엑스): -1.13%
  44. 311060 (엘에이티): -1.30%
  45. 169670 (코스텍시스템): -1.37%
  46. 121060 (유니포인트): -1.66%
  47. 140610 (엔솔바이오사이언스): -1.66%
  48. 207490 (에이펙스인텍): -1.73%
  49. 052960 (태양3C): -2.05%
  50. 208850 (이비테크): -2.59%
  51. 337840 (유엑스엔): -2.86%
  52. 217880 (틸론): -2.86%
  53. 176590 (코나솔): -2.92%
  54. 446440 (에피바이오텍): -3.09%
  55. 296160 (프로젠): -3.29%
  56. 322970 (무진메디): -3.91%
  57. 251280 (안지오랩): -4.54%
  58. 180060 (탑선): -4.81%
  59. 232530 (이엠티): -4.85%
  60. 318660 (타임기술): -4.90%
  61. 447690 (아이오바이오): -5.16%
  62. 341170 (퓨쳐메디신): -5.57%
  63. 227420 (도부): -5.60%
  64. 276240 (엘리비젼): -6.56%
  65. 114920 (대주이엔티): -6.82%
  66. 223220 (로지스몬): -9.18%
  67. 136660 (큐엠씨): -9.56%
  68. 236030 (씨알푸드): -11.66%
  69. 253610 (루트락): -12.10%
  70. 086220 (광동헬스바이오): -12.48%
  71. 229500 (노브메타파마): -12.98%
  72. 233250 (메디안디노스틱): -13.07%
  73. 140660 (위월드): -13.88%
  74. 390110 (애니메디솔루션): -25.00%

============================================================
Horizon: 60d

--- KONEX TOP 100 ---
  1. 199290 (바이오프로테크): +35.00%
  2. 299480 (지앤이헬스케어): +35.00%
  3. 122830 (원포유): +28.16%
  4. 270210 (에스알바이오텍): +23.48%
  5. 311960 (인터로이드): +20.23%
  6. 266470 (바이오인프라생명과학): +15.82%
  7. 354390 (바스칸바이오제약): +14.90%
  8. 217910 (에스제이켐): +14.05%
  9. 236340 (메디젠휴먼케어): +13.42%
  10. 116100 (태양기계): +12.66%
  11. 260870 (SK시그넷): +12.19%
  12. 189350 (코셋): +10.92%
